OBJECTID,DISTRICT,PSA,NAME,TOTALPOP,WHITE,BLACK,NAT_AMER,ASIAN,OTHER,TWO_ORMORE,HISPANIC,POPMALE,POPFEMALE,PC_MALE,PC_FEMALE,POPUNDER18,POP65UP,WEB_URL,POLDIST_ID,GIS_ID,Shape_Length,Shape_Area
1,7,708,708,10900,400,10157,17,54,63,200,232,5055,5845,0.464,0.536,3012,761,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,psa_1,15721.295309,8777173.582316
2,7,706,706,9194,56,8964,19,12,22,116,101,3895,5299,0.424,0.576,2861,879,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,psa_2,5990.997679,1611414.832906
3,7,705,705,5713,109,5488,15,10,24,67,108,2530,3183,0.443,0.557,1777,460,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,psa_3,5396.984715,1217525.979422
4,7,707,707,8280,1297,6507,27,82,95,270,346,3901,4379,0.471,0.529,2379,557,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,psa_4,15668.685191,6224080.116419
5,7,704,704,10094,80,9808,10,23,40,132,124,4271,5823,0.423,0.577,3382,709,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,psa_5,6979.096537,1730263.500106
6,7,702,702,7127,61,6924,12,11,16,103,84,3275,3852,0.46,0.54,2255,499,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,psa_6,7006.290472,1093472.355896
7,6,606,606,5961,338,5429,29,23,40,100,112,2634,3327,0.442,0.558,1096,1010,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,psa_7,6596.43861,1895057.22166
8,7,703,703,8549,410,7923,23,36,53,101,187,3993,4556,0.467,0.533,2783,452,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,psa_8,15261.811346,6842199.501313
9,7,701,701,9943,172,9490,32,29,35,185,104,4502,5441,0.453,0.547,2588,1117,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,7,psa_9,8069.158529,2225110.082297
10,6,607,607,5670,152,5386,13,20,11,88,95,2627,3043,0.463,0.537,1189,769,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,psa_10,8347.778555,1624385.756539
11,6,605,605,8875,178,8477,41,11,51,117,146,4017,4858,0.453,0.547,1784,1781,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,psa_11,9933.991443,4734144.562141
12,1,105,105,11592,4011,6378,76,527,189,405,598,5408,6184,0.467,0.533,1530,1671,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,psa_12,12852.333635,8536785.541614
13,1,106,106,8353,4746,2948,30,283,96,246,459,4375,3978,0.524,0.476,947,612,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,psa_13,8946.530554,3304257.746676
14,6,604,604,13174,151,12575,31,20,152,242,353,5752,7422,0.437,0.563,3866,1397,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,psa_14,7065.256484,2408394.325386
15,6,603,603,11046,89,10576,22,13,144,198,283,4832,6214,0.437,0.563,2898,1303,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,psa_15,6499.101957,2142261.38226
16,1,107,107,15519,12739,1622,59,524,164,403,658,7354,8165,0.474,0.526,1736,1599,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,psa_16,6237.380484,2073699.455768
17,1,108,108,15034,5664,8372,62,272,247,412,814,8529,6505,0.567,0.433,1884,1194,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,psa_17,8364.117748,3219354.939956
18,1,101,101,896,648,120,3,91,14,20,61,498,398,0.556,0.444,41,31,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,psa_18,6210.484282,1678270.992448
19,6,608,608,8297,91,7937,21,20,92,136,180,3676,4621,0.443,0.557,2257,1098,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,psa_19,8216.984195,1989308.654744
20,1,102,102,5994,3264,1156,13,1289,92,175,333,2899,3095,0.484,0.516,275,700,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,psa_20,4157.986225,846561.629182
21,1,104,104,11337,6047,4485,38,300,141,316,501,5602,5735,0.494,0.506,1442,969,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,psa_21,5313.339375,1492733.852396
22,1,103,103,5264,1268,3520,19,242,101,112,259,2485,2779,0.472,0.528,1014,515,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,1,psa_22,6645.93748,2100985.15342
23,5,507,507,11538,634,10451,34,51,148,219,338,5261,6277,0.456,0.544,2799,1191,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,psa_23,7695.099982,3028179.771772
24,2,207,207,17101,13400,1005,26,1908,188,571,989,7990,9111,0.467,0.533,267,1370,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,psa_24,13687.858071,8237550.142148
25,6,602,602,9647,115,9178,32,14,148,159,280,4575,5072,0.474,0.526,2524,1143,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,psa_25,8533.748139,2868003.279169
26,5,506,506,7710,1091,6146,42,79,157,187,432,3659,4051,0.475,0.525,1443,836,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,psa_26,6636.458454,1806286.501078
27,3,308,308,6522,1859,3652,30,534,251,190,511,3192,3330,0.489,0.511,1110,650,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,psa_27,3671.236446,777177.368748
28,3,307,307,12122,7099,2369,55,715,1444,426,2476,6695,5427,0.552,0.448,961,798,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,psa_28,3857.785144,820799.161734
29,2,206,206,16466,14050,569,23,1206,157,450,1074,7680,8786,0.466,0.534,1222,1686,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,psa_29,9111.575224,3661586.074356
30,6,601,601,7536,81,7247,16,8,65,116,130,3080,4456,0.409,0.591,2184,851,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,6,psa_30,11635.422986,3689069.507812
31,3,301,301,11073,8019,1585,39,671,430,322,1098,5757,5316,0.52,0.48,652,717,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,psa_31,3448.052337,726068.528843
32,3,305,305,6173,3073,2404,30,317,164,185,461,3148,3025,0.51,0.49,316,224,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,psa_32,3174.29608,632046.458881
33,2,208,208,17738,13612,1401,56,1641,460,543,1647,9058,8680,0.511,0.489,602,1610,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,psa_33,7663.979618,1948040.227226
34,5,505,505,5755,172,5290,21,30,138,103,254,2692,3063,0.468,0.532,1373,823,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,psa_34,7880.769479,3101807.373492
35,5,501,501,8621,2586,5326,17,223,147,318,483,4382,4239,0.508,0.492,1174,622,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,psa_35,5670.934558,1070533.690095
36,3,304,304,12110,4230,5465,43,422,1438,502,2650,6009,6101,0.496,0.504,1828,768,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,psa_36,3981.506448,869339.862295
37,3,303,303,15621,11631,1753,52,829,779,563,2082,7745,7876,0.496,0.504,1087,1206,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,psa_37,5051.989196,1212672.412809
38,3,306,306,4358,615,3361,22,84,85,188,267,1810,2548,0.415,0.585,339,179,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,psa_38,4720.767227,1114919.585888
39,3,302,302,13007,4561,5162,87,465,2146,577,3944,6507,6500,0.5,0.5,2209,1018,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,psa_39,4418.468588,943929.561058
40,5,502,502,11170,1799,8393,46,173,474,278,888,5226,5944,0.468,0.532,1935,1290,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,psa_40,7106.306577,2434299.600418
41,4,409,409,10201,3478,3970,61,314,1913,460,3408,5268,4933,0.516,0.484,1672,722,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,psa_41,4368.073768,699387.754816
42,4,408,408,10468,6274,1980,77,481,1188,465,2573,5380,5088,0.514,0.486,1259,884,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,psa_42,4394.330667,954451.125627
43,5,504,504,6919,1788,4515,35,134,177,270,532,3297,3622,0.477,0.523,1205,1018,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,psa_43,7111.353782,2767306.731733
44,2,204,204,24389,20579,985,67,1627,433,693,1958,10409,13981,0.427,0.573,2118,2971,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,psa_44,13550.722438,6065441.903776
45,5,503,503,9991,679,8598,43,111,277,282,562,4430,5561,0.443,0.557,1744,2191,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,psa_45,14179.878385,7658638.675021
46,2,205,205,18910,16130,771,29,1147,250,576,1357,8435,10475,0.446,0.554,3048,2854,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,psa_46,15642.676247,10547733.283761
47,4,407,407,13121,1984,8938,73,180,1544,398,2558,6349,6772,0.484,0.516,2608,1724,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,psa_47,5870.327226,2079467.702793
48,4,404,404,11835,3269,5661,61,207,1891,735,3428,5994,5841,0.506,0.494,2185,1411,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,psa_48,7999.597841,3088410.831366
49,4,405,405,18404,4147,12659,69,279,764,476,1439,8641,9763,0.47,0.53,2500,3967,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,psa_49,11681.003543,6808356.187424
50,2,203,203,17440,14084,1175,37,1366,263,510,1294,7491,9948,0.43,0.57,1677,2595,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,psa_50,13168.736045,6402207.967731
51,4,403,403,13462,2123,8428,63,209,2093,526,3457,6397,7065,0.475,0.525,2899,1689,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,psa_51,9042.65614,2715706.397671
52,2,202,202,11906,10077,534,34,683,142,429,812,5504,6402,0.462,0.538,2316,1724,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,psa_52,9130.809069,4152361.323746
53,4,402,402,11697,1263,8248,55,149,1564,407,2499,5352,6345,0.458,0.542,2417,1701,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,psa_53,7656.996186,2580301.824244
54,4,406,406,6802,473,5669,18,45,380,211,654,3018,3784,0.444,0.556,1200,1467,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,psa_54,6608.904947,2285852.629543
55,2,201,201,14205,11678,1274,18,637,190,402,897,6570,7635,0.463,0.537,3087,2956,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,psa_55,13571.423579,6992956.299931
56,4,401,401,10893,2847,6721,56,225,604,435,1179,5111,5782,0.469,0.531,1859,1870,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,psa_56,12622.922403,4947831.261013
